"baker","baker_age","baker_occupation","series","episode","signature_bake","show_stopper","hometown","technical","result"
"Nadiya",30,"Full-time mother",6,3,"Mexican Bread with Warm Tomato Salsa","Snake Charmer's Basket","Leeds / Luton","9","IN"
"Paul",49,"Prison governor",6,3,"Cranberry and Orange Sweet Soda Breads","King of the Jungle","Swansea, Wales","10","IN"
"Sandy",49,"Child welfare officer",6,3,"Soda Breads with Smoked Bacon and Onion","Basket of Bread Flowers with a Walnut and Blue Cheese Centre","Yeadon, West Yorkshire","7","IN"
"Tamal",29,"Trainee anaesthetist",6,3,"Fig, Cheese and Walnut Breads","Breadcycle","Manchester","3","IN"
"Ugnė",32,"PA and administrator",6,3,"Chocolate Quick Breads with Salted Caramel Sauce","Easter Basket","Woodford, London / Vilkaviškis, Lithuania","5","IN"
"Alvin",37,"Nurse",6,4,"Blackberry Crème Brûlées","Tower of Fruits Cheesecakes","Bracknell, Berkshire","9","IN"
"Flora",19,"Art gallery assistant",6,4,"Rhubarb and Ginger Crème Brûlées","Elderflower and Granola Cheesecakes","Dunkeld, Perth and Kinross","3","IN"
"Ian",41,"Travel photographer",6,4,"Pomegranate Two Ways Crème Brûlées","Trio of Spicy and Herby Baked Cheesecakes","Great Wilbraham, Cambridgeshire","4","STAR BAKER"
"Mat",37,"Fire fighter",6,4,"Coconut Crème Brûlées","Chocolate Bar Cheesecakes","London","7","IN"
"Nadiya",30,"Full-time mother",6,4,"Cinnamon Tea Crème Brûlées","Fizzy Pop Cheesecakes","Leeds / Luton","8","IN"
"Paul",49,"Prison governor",6,4,"Almond Crème Brûlées","Berry Cheesecake Tower","Swansea, Wales","1","IN"
"Sandy",49,"Child welfare officer",6,4,"Pontefract Crème Brûlées","Cassata, Whisky and Orange & Apple Pie Cheesecakes","Yeadon, West Yorkshire","6","OUT"
"Tamal",29,"Trainee anaesthetist",6,4,"Rhubarb and Ginger Crème Brûlées","Mango, Hazelnut and Rosemary Cheesecake Trio","Manchester","5","IN"
"Ugnė",32,"PA and administrator",6,4,"Marula Fruit and Coffee Liqueur Crème Brûlées","Lime, Coconut and Hazelnut Cheesecakes","Woodford, London / Vilkaviškis, Lithuania","2","IN"
"Alvin",37,"Nurse",6,5,"Pineapple Upside Down Cake","Buko Pandan, Mango and Passion Fruit Ice Cream Roll","Bracknell, Berkshire","8","IN"
"Flora",19,"Art gallery assistant",6,5,"Pistachio, Apple and Cardamom Madeleine Cake","Chocolate and Pear Bûche","Dunkeld, Perth and Kinross","3","IN"
"Ian",41,"Travel photographer",6,5,"Honey and Flowers Cake","Dessert Island","Great Wilbraham, Cambridgeshire","5","IN"
"Mat",37,"Fire fighter",6,5,"Sugar Free Carrot Cake","Raspberry and Coconut Ice Cream Roll","London","4","IN"
"Nadiya",30,"Full-time mother",6,5,"Naked Blueberry and Caraway Crunch Cake","Chocolate and Strawberry Lime Ice Cream Roll","Leeds / Luton","1","STAR BAKER"
"Paul",49,"Prison governor",6,5,"Carrot & Pecan Cake","Dessert Island Getaway","Swansea, Wales","2","IN"
"Tamal",29,"Trainee anaesthetist",6,5,"Honey and Grapefruit Polenta Cake","Passion Fruit and Pineapple Ice Cream Roll","Manchester","7","IN"
"Ugnė",32,"PA and administrator",6,5,"Chocolate and Hazelnut Sugar-Free Cake","Chocolate, Peanut Butter and Grape Jam Roll","Woodford, London / Vilkaviškis, Lithuania","6","OUT"
"Alvin",37,"Nurse",6,6,"Plum Frangipane Tart","Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents","Bracknell, Berkshire","6","OUT"
"Flora",19,"Art gallery assistant",6,6,"Apricot and Rosemary Frangipane Tart","Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents","Dunkeld, Perth and Kinross","2","IN"
"Ian",41,"Travel photographer",6,6,"Pear and Raspberry Frangipane Tart","vol-au-vents Terre et Mer","Great Wilbraham, Cambridgeshire","3","IN"
"Mat",37,"Fire fighter",6,6,"Piña Colada Frangipane Tart","His 'n' Hers Vol-au-vents","London","1","STAR BAKER"
"Nadiya",30,"Full-time mother",6,6,"Bay Leaf, Rong Tea and Pear Tart","Bengali Korma and Clementine with Cod Vol-au-vents","Leeds / Luton","4","IN"
"Paul",49,"Prison governor",6,6,"Christmas Frangipane Tart","Savoury and Sweet Bouchées","Swansea, Wales","5","IN"
"Tamal",29,"Trainee anaesthetist",6,6,"Spiced Pear Frangipane Tart","Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents","Manchester","7","IN"
"Flora",19,"Art gallery assistant",6,7,"Game Pie with Shallot and Apple Chutney","Raspberry, Pomegranate and Champagne Charlotte Russe","Dunkeld, Perth and Kinross","4","IN"
"Ian",41,"Travel photographer",6,7,"Roadkill Pie","Victoria's Crown Charlotte Russe","Great Wilbraham, Cambridgeshire","5","IN"
"Mat",37,"Fire fighter",6,7,"Raised Venison and Pigeon Pie","Strawberry Charlotte Russe","London","6","OUT"
"Nadiya",30,"Full-time mother",6,7,"Aromatic Raised Game Pie","Mango and Raspberry Charlotte Russe","Leeds / Luton","1","IN"
"Paul",49,"Prison governor",6,7,"Not a Boaring Pie","Charlotte Rose","Swansea, Wales","2","IN"
"Tamal",29,"Trainee anaesthetist",6,7,"Middle Eastern Game Pie","Spiced Blackberry, Raspberry and Cardamom Charlotte Russe","Manchester","3","STAR BAKER"
"Flora",19,"Art gallery assistant",6,8,"Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns","Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne","Dunkeld, Perth and Kinross","3","IN"
"Ian",41,"Travel photographer",6,8,"Mont Blanc & Black Forest Gâteau Horns","Nun with Hidden Passions","Great Wilbraham, Cambridgeshire","2","IN"
"Nadiya",30,"Full-time mother",6,8,"Rose Pistachio and Mocha Hazelnut Horns","Bubble Gum and Peppermint Cream Religieuse à l'ancienne","Leeds / Luton","1","STAR BAKER"
"Paul",49,"Prison governor",6,8,"Café Tipple & Banana Crunch-away Horns","Religieuse à l'ancienne","Swansea, Wales","5","OUT"
"Tamal",29,"Trainee anaesthetist",6,8,"Lime & Mascarpone and Malt Cream Horns","Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne","Manchester","4","IN"
"Flora",19,"Art gallery assistant",6,9,"Passion Fruit and Chocolate Tart","Cocoa Carousel","Dunkeld, Perth and Kinross","1","OUT"
"Ian",41,"Travel photographer",6,9,"Chocolate and Bay Tart","Chocolate Well","Great Wilbraham, Cambridgeshire","3","IN"
"Nadiya",30,"Full-time mother",6,9,"Peanut Salted Caramel and Chocolate Tart","Peacock in Nan's Door","Leeds / Luton","4","STAR BAKER"
"Tamal",29,"Trainee anaesthetist",6,9,"Chocolate New York Pie","Chocolate Bell Tower","Manchester","2","IN"
"Ian",41,"Travel photographer",6,10,"Elderflower and Lemon & Spiced Buns","Colossal Curvy Carrot Cake","Great Wilbraham, Cambridgeshire","2","Runner-up"
"Nadiya",30,"Full-time mother",6,10,"Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers","My Big Fat British Wedding Cake","Leeds / Luton","1","WINNER"
"Tamal",29,"Trainee anaesthetist",6,10,"Cinnamon and Apple & Toffee and Marmalade Iced Buns","Sticky Toffee Pudding Cake","Manchester","3","Runner-up"
"Andrew",25,"Aerospace engineer",7,1,"Lemon and Rosemary Drizzle Cake","'Ultimate Indulgence' Mirror Glaze Cake","Derby / Holywood, County Down","12","IN"
"Benjamina",23,"Teaching assistant",7,1,"Pistachio, Cardamom and Lemon Drizzle Cake","White Chocolate Mirror Glaze with Salted Praline Buttercream","South London","6","IN"
"Candice",31,"PE teacher",7,1,"Raspberry and Rhubarb Drizzle Custard Bundt Cake","Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?","Barton-Le-Clay, Bedfordshire","5","IN"
"Jane",61,"Garden designer",7,1,"Lemon and Poppy Seed Drizzle Cake","Chocolate Orange Mirror Cake","Beckenham","7","STAR BAKER"
"Kate",37,"Nurse",7,1,"Berry Best Apple and Bramble Drizzle Cake","One Swallow Does Not Make A Summer Cake","Brooke, Norfolk","4","IN"
"Lee",67,"Pastor",7,1,"St. Clements Orange and Lemon Drizzle Cake","Strawberry Surprise Mirror Cake","Bolton","11","OUT"
"Louise",46,"Hairdresser",7,1,"Orange Liqueur and Lemonade Drizzle Cake","White Chocolate Trifle Mirror Glaze Cake","Cardiff","9","IN"
"Michael",20,"Student",7,1,"Lime, Ginger and Honey Drizzle Cake","Matcha Tea Chocolate Mirror Glaze","Durham","3","IN"
"Rav",28,"Student support",7,1,"Ginger Spice Yuzu Drizzle Cake","Colombian Mocha Mirror Glaze Cake","Erith","8","IN"
"Selasi",30,"Client service associate",7,1,"Citrus and Spice Drizzle Cake","Raspberry, Sloe and White Chocolate Mirror Glaze Cake","London","1","IN"
"Tom",26,"Project engagement manager",7,1,"G&T Drizzle Cake","Black Forest Broken Mirror","Rochdale","2","IN"
"Val",66,"Semi-retired, Substitute teacher",7,1,"Mum's Orange and Lemon Drizzle","Chocolate Sponge with Four Fruit Frosting","Yeovil","10","IN"
"Andrew",25,"Aerospace engineer",7,2,"Beehive Biscuits","Punting in Cambridge","Derby / Holywood, County Down","4","IN"
"Benjamina",23,"Teaching assistant",7,2,"Bouquet Biscuits","New York, New York","South London","3","IN"
"Candice",31,"PE teacher",7,2,"Salted Caramel, Chocolate Iced Shiny Hearts","Gingerbread Pub with Sticky Ginger Carpet","Barton-Le-Clay, Bedfordshire","8","STAR BAKER"
"Jane",61,"Garden designer",7,2,"Flower Pot Iced Biscuits","Hastings Old Town Fishing Net Shops and Boat","Beckenham","2","IN"
"Kate",37,"Nurse",7,2,"""A Biscuit for the Broads""","""I Promise I will do my best""","Brooke, Norfolk","1","IN"
"Louise",46,"Hairdresser",7,2,"Baa Bara Brith Biscuits","Gingerbread Wedding","Cardiff","10","OUT"
"Michael",20,"Student",7,2,"Malt, Chocolate and Orange Iced ""Beer"" Biscuits","Trip to See Santa in Lapland","Durham","9","IN"
"Rav",28,"Student support",7,2,"Union Jack Bunting Biscuits","Gingerbread Christmas Fairground","Erith","6","IN"
"Selasi",30,"Client service associate",7,2,"""Wheelie Hot Iced Biscuits""","Stained Glass Window Gingerbread Church","London","11","IN"
"Tom",26,"Project engagement manager",7,2,"Chai Frappelatteccino Biscuits","Tom and Pod's Near Death Experience","Rochdale","7","IN"
"Val",66,"Semi-retired, Substitute teacher",7,2,"Sunday Treat Iced Ice Cream Cone Biscuits","From Holland to New York via Yorkshire","Yeovil","5","IN"
"Andrew",25,"Aerospace engineer",7,3,"Chocolate Barmbrack Bread","Braided Harvest Bread Basket","Derby / Holywood, County Down","2","IN"
"Benjamina",23,"Teaching assistant",7,3,"Chocolate, Tahini and Almond Babka","Braided Bread Heart","South London","6","IN"
"Candice",31,"PE teacher",7,3,"Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf","Italian Light and Dark Rye Twist","Barton-Le-Clay, Bedfordshire","3","IN"
"Jane",61,"Garden designer",7,3,"Chocolate and Cranberry Couronne","Chorizo and Chilli Flower with Parmesan and Pesto Centre","Beckenham","9","IN"
"Kate",37,"Nurse",7,3,"Cobbled Loaf","The Corn Maiden","Brooke, Norfolk","8","IN"
"Michael",20,"Student",7,3,"Chocolate and Chilli Swirl Plait","Cypriot Dove and Olive Branch Plaited Loaf with Houmous","Durham","7","OUT"
"Rav",28,"Student support",7,3,"Chocolate, Cardamom and Hazelnut Loaf","Three Tier Diwali Bread Centrepiece","Erith","10","IN"
"Selasi",30,"Client service associate",7,3,"Chocolate, Orange and Cinnamon Bread","Bedouin Escape Tear and Share Bread","London","5","IN"
"Tom",26,"Project engagement manager",7,3,"Chocolate Orange and Chilli Swirl Bread","Jörmungandr and Mjölnir","Rochdale","4","STAR BAKER"
"Val",66,"Semi-retired, Substitute teacher",7,3,"Double Chocolate Cinnamon Twist Loaf","""And They All Went Into The Ark To Get Out Of The Rain""","Yeovil","1","IN"
"Andrew",25,"Aerospace engineer",7,4,"Yorkshire 'Tapas' Puddings","Churros Window Box","Derby / Holywood, County Down","4","IN"
"Benjamina",23,"Teaching assistant",7,4,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings","Tropical Churros","South London","1","STAR BAKER"
"Candice",31,"PE teacher",7,4,"Yorkshire Wellingtons","Two-Way Peanut Butter Churros","Barton-Le-Clay, Bedfordshire","2","IN"
"Jane",61,"Garden designer",7,4,"Meat and Two Veg Yorkshires","Pistachio and White Chocolate Churros","Beckenham","3","IN"
"Kate",37,"Nurse",7,4,"Christmas Dinner Compromise","Hot Cross Bunny Churros","Brooke, Norfolk","7","OUT"
"Rav",28,"Student support",7,4,"Thai Tofu Panang Yorkshires","Three Dip Matcha Pistachio Churros","Erith","9","IN"
"Selasi",30,"Client service associate",7,4,"Perfect Sunday Roast Accompaniment","Lemon and Anise Churros","London","8","IN"
"Tom",26,"Project engagement manager",7,4,"West Yorkshire Fusion Puddings","Fennel Churros Snake In The Grass","Rochdale","5","IN"
"Val",66,"Semi-retired, Substitute teacher",7,4,"Mum's Chilli Yorkshire Puddings","Orange Chocolate Churros","Yeovil","6","IN"
"Andrew",25,"Aerospace engineer",7,5,"Mum and Dad's Breakfast Pastries","Spicy Chorizo Squash Parcels and Baklava Bites","Derby / Holywood, County Down","6","IN"
"Benjamina",23,"Teaching assistant",7,5,"'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels","Plantain and Spinach Samosas and Chai Pear Cups","South London","5","IN"
"Candice",31,"PE teacher",7,5,"Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups","Barton-Le-Clay, Bedfordshire","2","STAR BAKER"
"Jane",61,"Garden designer",7,5,"Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish","Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones","Beckenham","1","IN"
"Rav",28,"Student support",7,5,"Cinnamon Swirls and Pecan, Walnut and Maple Plaits","Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas","Erith","8","IN"
"Selasi",30,"Client service associate",7,5,"Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels","Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups","London","3","IN"
"Tom",26,"Project engagement manager",7,5,"Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers","Yin and Yang Amuse-bouche","Rochdale","4","IN"
"Val",66,"Semi-retired, Substitute teacher",7,5,"Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls","Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels","Yeovil","7","OUT"
"Andrew",25,"Aerospace engineer",7,6,"Tangy Lime and Ginger Meringue Pie","Spring Elderflower Trio","Derby / Holywood, County Down","6","IN"
"Benjamina",23,"Teaching assistant",7,6,"Grapefruit and Ginger Meringue Pie","Floral Tea Cake","South London","2","IN"
"Candice",31,"PE teacher",7,6,"Lime, Coconut and Lemongrass Sugar Meringue Pie","Four Seasons Cake","Barton-Le-Clay, Bedfordshire","5","IN"
"Jane",61,"Garden designer",7,6,"Lime and Coconut Meringue Pie","Three Tier Orange Cake with a Floral Chocolate Collar","Beckenham","4","IN"
"Rav",28,"Student support",7,6,"Mandarin Margarita Meringue Pie","Blossom Cake","Erith","3","OUT"
"Selasi",30,"Client service associate",7,6,"Grapefruit, Orange and Mint Meringue Pie","Three Tiered Ombré Floral Cake","London","7","IN"
"Tom",26,"Project engagement manager",7,6,"Blood Orange Halloween Pumpkin Pie","Floral Tea Cake","Rochdale","1","STAR BAKER"
"Andrew",25,"Aerospace engineer",7,7,"Tropical Holiday Roulade","Childhood Ice Cream Mousse Cakes","Derby / Holywood, County Down","1","STAR BAKER"
"Benjamina",23,"Teaching assistant",7,7,"Piña Colada Roulade","Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake","South London","3","IN"
"Candice",31,"PE teacher",7,7,"Crowd Pleaser Roulade","Blackberry and Raspberry Bubbles and After Dinner Mousse","Barton-Le-Clay, Bedfordshire","2","IN"
"Jane",61,"Garden designer",7,7,"Chocolate and Hazelnut Roulade","Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses","Beckenham","4","IN"
"Selasi",30,"Client service associate",7,7,"Summer Picnic Roulade","Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes","London","6","IN"
"Tom",26,"Project engagement manager",7,7,"Millionaire's Roulade","Hipster Picnic","Rochdale","5","OUT"
"Andrew",25,"Aerospace engineer",7,8,"Da Vinci Inspired Geared Pies","Jousting Knights Marchpane","Derby / Holywood, County Down","2","IN"
"Benjamina",23,"Teaching assistant",7,8,"Mexican Adventure","Tudor Garden","South London","4","OUT"
"Candice",31,"PE teacher",7,8,"Cheesy Cheeky Fish Pies","Peacock","Barton-Le-Clay, Bedfordshire","1","STAR BAKER"
"Jane",61,"Garden designer",7,8,"Tudor Rose Pies","Swans","Beckenham","5","IN"
"Selasi",30,"Client service associate",7,8,"Bouquet of Flowers","Fruity Tudor Marchpane","London","3","IN"
"Andrew",25,"Aerospace engineer",7,9,"Cheesy Elephant Ears and Herby Treble Clefs","Philharmonic Fondants","Derby / Holywood, County Down","2","STAR BAKER"
"Candice",31,"PE teacher",7,9,"Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers","Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies","Barton-Le-Clay, Bedfordshire","3","IN"
"Jane",61,"Garden designer",7,9,"Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers","Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies","Beckenham","1","IN"
"Selasi",30,"Client service associate",7,9,"Sundried Tomato, Onion, Peppers and Parmesan Palmiers and Salmon, Spinach and Mushroom Palmiers","Lime and Ginger Fondant Fancies and Pink Velvet and Raspberry Prosecco Fondant Fancies","London","4","OUT"
"Andrew",25,"Aerospace engineer",7,10,"Crunchy Caramel Cassis Crown","Family and Friends' Favourites Picnic","Derby / Holywood, County Down","1","Runner-up"
"Candice",31,"PE teacher",7,10,"Queen Victoria's Mango and Strawberry Crown","Picnic for Pearly Kings and Queens","Barton-Le-Clay, Bedfordshire","2","WINNER"
"Jane",61,"Garden designer",7,10,"Red, White and Blue Meringue Crown","Family Favourites Feast","Beckenham","3","Runner-up"
"Chris",50,"Software developer",8,1,"Tropical Fresh Fruit Cake","'Raised Pork Pie and Egg Surprise' Cake","Bristol","12","IN"
"Flo",71,"Retired",8,1,"Citrus Layer Cake","'One in a Melon' Cake","Merseyside","9","IN"
"James",46,"Banker",8,1,"Orange, Rhubarb & Ginger Crumble Cake","'Mock-accino and Croissant' Cake","Brentwood, Essex","2","IN"
"Julia",21,"Aviation Broker",8,1,"Courgette and Lemon Cake","'Russian Doll' Cake","Crawley, West Sussex","3","IN"
"Kate",29,"Health and safety inspector",8,1,"Moroccan Strawberry and Rose Cake","'Chocolate Terrarium' Cake","Merseyside","1","IN"
"Liam",19,"Student",8,1,"Apple and Almond Crumble Maple Loaf","'Stackin' Sunday' Cake","North London","8","IN"
"Peter",52,"IT programme manager",8,1,"Coconut Cake","'Bread on a Breadboard' Cake","Southend, Essex","10","OUT"
"Sophie",33,"Former army officer and trainee stuntwoman",8,1,"Pineapple and Coconut Sandwich Cake","'Champagne Bottle and Bucket' Cake","West Molesey, Surrey","5","IN"
"Stacey",42,"Former school teacher",8,1,"Granny Smith Apple and Walnut Cake","'Black Evening Clutch Bag' Cake","Radlett, Hertfordshire","11","IN"
"Steven",34,"Marketer",8,1,"Bonfire Night Cake","'A Baker's Lunch' Cake","Watford, Hertfordshire","6","STAR BAKER"
"Tom",29,"Architect",8,1,"Gilded Pear and Cardamom Cake","'Stack of Books' Cake","Edinburgh","7","IN"
"Yan",46,"Laboratory research scientist",8,1,"Windfall Apple Crumble Cake","'Banana-ramen' Cake","North London","4","IN"
"Chris",50,"Software developer",8,2,"Chocolate Chia Seed Biscuits with Whisky Caramel Filling","'The Great British Sail Off' Game","Bristol","11","OUT"
"Flo",71,"Retired",8,2,"Gin Jam Butties","'Pick My Bones' Game","Merseyside","10","IN"
"James",46,"Banker",8,2,"Rhubarb and Custard Whirls","'Coppit' Game","Brentwood, Essex","3","IN"
"Julia",21,"Aviation Broker",8,2,"Middle Eastern Delight Sandwich Biscuits","'A British Baking' Game","Crawley, West Sussex","4","IN"
"Kate",29,"Health and safety inspector",8,2,"Coconut Seashells for a Titanic Afternoon Tea","'Jungle' Game","Merseyside","8","IN"
"Liam",19,"Student",8,2,"Coffee Malted Pecan Shorties","'Classroom Classics' Game","North London","7","IN"
"Sophie",33,"Former army officer and trainee stuntwoman",8,2,"Lemon Limoncino Sandwich Biscuits","'Snakes and Ladders' Game","West Molesey, Surrey","2","IN"
"Stacey",42,"Former school teacher",8,2,"Sparkly Chocolate and Marshmallow Fluff Cookies","'Get to School' Game","Radlett, Hertfordshire","9","IN"
"Steven",34,"Marketer",8,2,"Amarpressi Biscuits","'Check Bake' Game","Watford, Hertfordshire","6","STAR BAKER"
"Tom",29,"Architect",8,2,"Coffee and Amaretto Kisses","'Drain Pipes and Ladders' Game","Edinburgh","5","IN"
"Yan",46,"Laboratory research scientist",8,2,"'Mrs. Marian's PB 'n' B' Biscuits","'Adventures in Bakeland' Game","North London","1","IN"
"Flo",71,"Retired",8,3,"Cinnamon and Orange Teacakes","'Davy Jones' Locker' Bread Sculpture","Merseyside","7","OUT"
"James",46,"Banker",8,3,"Nordic Teacakes","'Owl in the Woods' Bread Sculpture","Brentwood, Essex","9","IN"
"Julia",21,"Aviation Broker",8,3,"Earl Grey Dried Fruit Teacakes","'The Snail Under a Mushroom' Bread Sculpture","Crawley, West Sussex","2","STAR BAKER"
"Kate",29,"Health and safety inspector",8,3,"Blueberry Buns","'Kraken' Bread Sculpture","Merseyside","10","IN"
"Liam",19,"Student",8,3,"Jamaican Spiced Teacakes","'Kneadapolitan' Bread Sculpture","North London","5","IN"
"Sophie",33,"Former army officer and trainee stuntwoman",8,3,"Tagine Teacakes","'Picnic Basket' Bread Sculpture","West Molesey, Surrey","6","IN"
"Stacey",42,"Former school teacher",8,3,"Cranberry and Cinnamon Teacakes","'Ascot Hat' Bread Sculpture","Radlett, Hertfordshire","1","IN"
"Steven",34,"Marketer",8,3,"Madras Cocktail Teacakes","'The Bag I Knead' Bread Sculpture","Watford, Hertfordshire","3","IN"
"Tom",29,"Architect",8,3,"Orange and Cranberry Teacakes","'Pink & Yellow Rose Centrepiece' Bread Sculpture","Edinburgh","4","IN"
"Yan",46,"Laboratory research scientist",8,3,"'Mrs P's' Masala Chai Spiced Teacakes","'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture","North London","8","IN"
"James",46,"Banker",8,4,"'Windy City' Millionaire Shortbreads","Nutty Caramel Cake","Brentwood, Essex","2","IN"
"Julia",21,"Aviation Broker",8,4,"Pecan Salted Caramel Millionaire Shortbreads","Poppy Seed Caramel Cake","Crawley, West Sussex","9","IN"
"Kate",29,"Health and safety inspector",8,4,"Salted Bay Caramel Millionaire Shortbreads","Sticky Toffee Apple Caramel Cake","Merseyside","6","STAR BAKER"
"Liam",19,"Student",8,4,"Salted Peanut Butter Millionaire Shortbreads","White Layered Ginger Caramel Cake","North London","3","IN"
"Sophie",33,"Former army officer and trainee stuntwoman",8,4,"Jaffa Millionaire Shortbreads","Bird's Nest Caramel Cake","West Molesey, Surrey","4","IN"
"Stacey",42,"Former school teacher",8,4,"Rum Salted Caramel Millionaire Shortbreads","Chocolate and Coffee Caramel Cake","Radlett, Hertfordshire","1","IN"
"Steven",34,"Marketer",8,4,"Orange Macadamia Nut Millionaire Shortbreads","Caramel Crown Cake","Watford, Hertfordshire","7","IN"
"Tom",29,"Architect",8,4,"Stem Ginger Caramel Shortbreads","Hummingbird Cake","Edinburgh","5","OUT"
"Yan",46,"Laboratory research scientist",8,4,"'Lil' Red's Ginger and Nuts' Millionaire Shortbreads","Animals of the Rainforest Caramel Cake","North London","8","IN"
"James",46,"Banker",8,5,"Orange and Ginger Steamed School Pudding","'The Missed Silver Jubilee' Trifle Terrine","Brentwood, Essex","7","OUT"
"Julia",21,"Aviation Broker",8,5,"Orange & Treacle Steamed School Pudding","'Opulent Ornament' Trifle Terrine","Crawley, West Sussex","3","IN"
"Kate",29,"Health and safety inspector",8,5,"'Mr Darcy's Steamy Lake Scene' Steamed School Pudding","'My Great Great Nan's' Raspberry Trifle Terrine","Merseyside","8","IN"
"Liam",19,"Student",8,5,"Cherries & Lemons that are 'Baked Well'","'Cheers Lads' Trifle Terrine","North London","2","IN"
"Sophie",33,"Former army officer and trainee stuntwoman",8,5,"Ginger, Fig and Honey Steamed School Pudding","Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine","West Molesey, Surrey","1","STAR BAKER"
"Stacey",42,"Former school teacher",8,5,"Bakewell Tart Steamed School Pudding","Tropical Trifle Terrine","Radlett, Hertfordshire","4","IN"
"Steven",34,"Marketer",8,5,"Lemon & Blackcurrant Drizzle Steamed School Pudding","'From Across the Jelly Pond' Trifle Terrine","Watford, Hertfordshire","5","IN"
"Yan",46,"Laboratory research scientist",8,5,"Mango Fruit Hat Steamed School Pudding","'Heart of a Hero' Trifle Terrine","North London","6","IN"
"Julia",21,"Aviation Broker",8,6,"'Pies from the Tree' Decorative Pies","'Special Occasion' Pie","Crawley, West Sussex","7","OUT"
"Kate",29,"Health and safety inspector",8,6,"'Vegetarian Pie Faces' Decorative Pies","Potato Curry Pie with Mango & Chilli Glaze","Merseyside","5","IN"
"Liam",19,"Student",8,6,"'Standard FC' Decorative Pies","'Nan's Sunday Dinner' Pie","North London","4","STAR BAKER"
"Sophie",33,"Former army officer and trainee stuntwoman",8,6,"'The Four Seasons' Decorative Pies","Game Pie with Glazed Forest Fruits","West Molesey, Surrey","2","IN"
"Stacey",42,"Former school teacher",8,6,"'Love Theme' Decorative Pies","Indian Hand Raised Pie with Mango","Radlett, Hertfordshire","6","IN"
"Steven",34,"Marketer",8,6,"'Fleetwood Mac' Decorative Pies","Christmas Pie","Watford, Hertfordshire","3","IN"
"Yan",46,"Laboratory research scientist",8,6,"'πr2' Decorative Pies","Chequerboard Pie","North London","1","IN"
"Kate",29,"Health and safety inspector",8,7,"'Happy Hour' Cocktail Cannoli","'Flavour Fusion' Sfogliatelle","Merseyside","6","IN"
"Liam",19,"Student",8,7,"'Just Doing Me' Cannoli","'Morning Delivery' Sfogliatelle","North London","2","IN"
"Sophie",33,"Former army officer and trainee stuntwoman",8,7,"'Classics with a Twist' Cannoli","'Classics' Sfogliatelle","West Molesey, Surrey","3","IN"
"Stacey",42,"Former school teacher",8,7,"My All Time Favourite Desserts","Pastry Surprise","Radlett, Hertfordshire","4","IN"
"Steven",34,"Marketer",8,7,"Italian Style Cannoli","'Sicilian-style' Sfogliatelle","Watford, Hertfordshire","1","STAR BAKER"
"Yan",46,"Laboratory research scientist",8,7,"Cannoli Cocktails","Canadian-Style Sfogliatelle","North London","5","OUT"
"Kate",29,"Health and safety inspector",8,8,"Burrito Bedfordshire Clangers","'Liver Building Turret' Savoy Cake","Merseyside","2","IN"
"Liam",19,"Student",8,8,"'Take Out' Bedfordshire Clangers","'Fort Wizardore' Savoy Cake","North London","5","OUT"
"Sophie",33,"Former army officer and trainee stuntwoman",8,8,"Char Siu & Banana Praline Bedfordshire Clangers","Citrus with Green Apple Croquembouche Savoy Cake","West Molesey, Surrey","4","IN"
